t=2026-05-14T12:53:10+0800 lvl=info msg="no configuration paths supplied"
t=2026-05-14T12:53:10+0800 lvl=info msg="using configuration at default config path" path=C:\\Users\\Jianl\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-14T12:53:10+0800 lvl=info msg="open config file" path=C:\\Users\\Jianl\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-14T12:53:10+0800 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-14T12:53:10+0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-14T12:53:11+0800 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-14T12:53:11+0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-14T12:53:11+0800 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://127.0.0.1:5000 url=https://panning-snagged-constrict.ngrok-free.dev
t=2026-05-14T12:53:37+0800 lvl=info msg=start pg=/api/tunnels id=d967b1d57145c3fd
t=2026-05-14T12:53:37+0800 lvl=info msg=end pg=/api/tunnels id=d967b1d57145c3fd status=200 dur=530.4µs
t=2026-05-14T12:54:13+0800 lvl=info msg="join connections" obj=join id=9fc6804059e1 l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:54:13+0800 lvl=info msg="join connections" obj=join id=ea3bdcef2fd8 l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:54:13+0800 lvl=info msg="join connections" obj=join id=2996cbfb2c86 l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:54:13+0800 lvl=info msg="join connections" obj=join id=22da01b1679f l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:54:14+0800 lvl=info msg="join connections" obj=join id=9cf9f0511dc5 l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:54:14+0800 lvl=info msg="join connections" obj=join id=840831b426ac l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:54:17+0800 lvl=info msg="join connections" obj=join id=0e0119a8924a l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:54:19+0800 lvl=info msg="join connections" obj=join id=0a3da5cc40ca l=127.0.0.1:5000 r=49.196.44.137:15013
t=2026-05-14T12:54:20+0800 lvl=info msg="join connections" obj=join id=d8f04983638b l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:54:23+0800 lvl=info msg="join connections" obj=join id=5eab77fe1b5f l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:54:24+0800 lvl=info msg="join connections" obj=join id=f3e98d0805b6 l=127.0.0.1:5000 r=49.196.44.137:15014
t=2026-05-14T12:54:24+0800 lvl=info msg="join connections" obj=join id=84158f67d297 l=127.0.0.1:5000 r=49.196.44.137:15014
t=2026-05-14T12:54:24+0800 lvl=info msg="join connections" obj=join id=d9022b598ab9 l=127.0.0.1:5000 r=49.196.44.137:15014
t=2026-05-14T12:54:24+0800 lvl=info msg="join connections" obj=join id=f5eb4590bcc6 l=127.0.0.1:5000 r=49.196.44.137:15014
t=2026-05-14T12:54:24+0800 lvl=info msg="join connections" obj=join id=6e2c10fcddc0 l=127.0.0.1:5000 r=49.196.44.137:15014
t=2026-05-14T12:54:24+0800 lvl=info msg="join connections" obj=join id=1ac23531eb18 l=127.0.0.1:5000 r=49.196.44.137:15014
t=2026-05-14T12:54:25+0800 lvl=info msg="join connections" obj=join id=e066a80d32db l=127.0.0.1:5000 r=49.196.44.137:15016
t=2026-05-14T12:54:27+0800 lvl=info msg="join connections" obj=join id=cbb072fc59a1 l=127.0.0.1:5000 r=49.196.44.137:15014
t=2026-05-14T12:54:29+0800 lvl=info msg="join connections" obj=join id=d8ce6ceb93df l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:54:31+0800 lvl=info msg="join connections" obj=join id=bbe9e804420f l=127.0.0.1:5000 r=49.196.44.137:15014
t=2026-05-14T12:54:34+0800 lvl=info msg="join connections" obj=join id=a12cbbc1391a l=127.0.0.1:5000 r=49.196.44.137:15014
t=2026-05-14T12:54:39+0800 lvl=info msg="join connections" obj=join id=43aae156e176 l=127.0.0.1:5000 r=49.196.44.137:15014
t=2026-05-14T12:54:41+0800 lvl=info msg="join connections" obj=join id=862653bcc116 l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:54:44+0800 lvl=info msg="join connections" obj=join id=5f0add64c84a l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:54:48+0800 lvl=info msg="join connections" obj=join id=bea9e35fca62 l=127.0.0.1:5000 r=49.196.44.137:15023
t=2026-05-14T12:54:48+0800 lvl=info msg="join connections" obj=join id=a412ea281cd9 l=127.0.0.1:5000 r=49.196.44.137:15023
t=2026-05-14T12:54:48+0800 lvl=info msg="join connections" obj=join id=dfdc14a9892e l=127.0.0.1:5000 r=49.196.44.137:15023
t=2026-05-14T12:54:48+0800 lvl=info msg="join connections" obj=join id=d77c5597953e l=127.0.0.1:5000 r=49.196.44.137:15023
t=2026-05-14T12:54:48+0800 lvl=info msg="join connections" obj=join id=99ed0670546f l=127.0.0.1:5000 r=49.196.44.137:15023
t=2026-05-14T12:54:48+0800 lvl=info msg="join connections" obj=join id=427e467de4a8 l=127.0.0.1:5000 r=49.196.44.137:15023
t=2026-05-14T12:54:49+0800 lvl=info msg="join connections" obj=join id=f39fbc9efe40 l=127.0.0.1:5000 r=49.196.44.137:15024
t=2026-05-14T12:54:51+0800 lvl=info msg="join connections" obj=join id=9022e4decbc0 l=127.0.0.1:5000 r=49.196.44.137:15023
t=2026-05-14T12:54:54+0800 lvl=info msg="join connections" obj=join id=5b0a3ced6391 l=127.0.0.1:5000 r=49.196.44.137:15023
t=2026-05-14T12:54:57+0800 lvl=info msg="join connections" obj=join id=c25d9cc08245 l=127.0.0.1:5000 r=49.196.44.137:15023
t=2026-05-14T12:54:59+0800 lvl=info msg="join connections" obj=join id=c7ad4a79de10 l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:55:03+0800 lvl=info msg="join connections" obj=join id=f29f4c843353 l=127.0.0.1:5000 r=49.196.44.137:15023
t=2026-05-14T12:55:08+0800 lvl=info msg="join connections" obj=join id=87cb1969aa00 l=127.0.0.1:5000 r=49.196.44.137:15023
t=2026-05-14T12:55:14+0800 lvl=info msg="join connections" obj=join id=13747f6e4e6e l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:55:18+0800 lvl=info msg="join connections" obj=join id=b142d7203cf1 l=127.0.0.1:5000 r=49.196.44.137:15023
t=2026-05-14T12:55:29+0800 lvl=info msg="join connections" obj=join id=2cd97ff0147b l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:55:33+0800 lvl=info msg="join connections" obj=join id=8bc67235cd1d l=127.0.0.1:5000 r=49.196.44.137:15023
t=2026-05-14T12:55:44+0800 lvl=info msg="join connections" obj=join id=47c132388aba l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:55:59+0800 lvl=info msg="join connections" obj=join id=b5d502f71095 l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:56:14+0800 lvl=info msg="join connections" obj=join id=b675a8623582 l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:56:29+0800 lvl=info msg="join connections" obj=join id=ed5b25530a50 l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:56:44+0800 lvl=info msg="join connections" obj=join id=38ea7b094bc5 l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:56:59+0800 lvl=info msg="join connections" obj=join id=46c656998367 l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:57:14+0800 lvl=info msg="join connections" obj=join id=06c68745198f l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:57:29+0800 lvl=info msg="join connections" obj=join id=e7288e9a79c7 l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:57:44+0800 lvl=info msg="join connections" obj=join id=3c4942289e40 l=127.0.0.1:5000 r=130.95.40.99:59203
t=2026-05-14T12:58:42+0800 lvl=info msg="join connections" obj=join id=f58c2d15575b l=127.0.0.1:5000 r=130.95.40.99:59208
t=2026-05-14T12:58:44+0800 lvl=info msg="join connections" obj=join id=94631db07552 l=127.0.0.1:5000 r=130.95.40.99:59208
t=2026-05-14T12:58:52+0800 lvl=info msg="join connections" obj=join id=e0f2b540a903 l=127.0.0.1:5000 r=49.196.44.137:14136
t=2026-05-14T12:58:57+0800 lvl=info msg="join connections" obj=join id=8616826d91ba l=127.0.0.1:5000 r=130.95.40.99:59208
t=2026-05-14T12:59:05+0800 lvl=info msg="join connections" obj=join id=751f08974b7c l=127.0.0.1:5000 r=49.196.44.137:14136
t=2026-05-14T12:59:12+0800 lvl=info msg="join connections" obj=join id=df92a3291551 l=127.0.0.1:5000 r=130.95.40.99:59208
t=2026-05-14T12:59:20+0800 lvl=info msg="join connections" obj=join id=9a1b920df2f5 l=127.0.0.1:5000 r=49.196.44.137:14136
t=2026-05-14T13:02:30+0800 lvl=info msg="join connections" obj=join id=3847ba8b35cf l=127.0.0.1:5000 r=49.196.44.137:14746
t=2026-05-14T13:03:27+0800 lvl=info msg="join connections" obj=join id=3530c015d6a0 l=127.0.0.1:5000 r=49.196.44.137:15026
t=2026-05-14T13:03:27+0800 lvl=info msg="join connections" obj=join id=af291e12b091 l=127.0.0.1:5000 r=49.196.44.137:15026
t=2026-05-14T13:03:33+0800 lvl=info msg="join connections" obj=join id=e90caefc40c4 l=127.0.0.1:5000 r=49.196.44.137:15026
